time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
484.852,-0.01468039,-0.01001579,-0.05740995,-0.1037754,-0.02186272,-0.09395299,0.1092954,0.09353166,-0.2241926,356.7355,356.5233,354.5974,-1.132231,2.838444,0.4837185,-3.606826,0.1866954,3.096476,-0.605678,-0.3688008,-0.08298534,0.9843777,279.1212,5.142939,1.274795,2.837542,0.5883226,-3.594624,1.170348,-3.032555,0.7983291,-0.402947,-0.0659263,11.36689,86.31899,11.47678,
499.078,-0.01645295,-0.007243123,-0.05382278,-0.07804486,-0.01533052,-0.1096981,0.1090338,0.09351522,-0.2248273,356.7655,356.5113,354.7007,-0.959721,2.931236,0.4277425,-3.553271,0.351002,3.171709,-0.614812,-0.3293614,-0.07859666,357.4741,279.4357,6.697594,1.115581,2.930195,0.5267881,-3.607239,0.933273,-3.064326,0.8095885,-0.3641196,-0.06062152,8.132634,85.8999,9.405914,
513.042,-0.01777384,-0.003699141,-0.04944325,-0.04378022,-0.003260935,-0.1314022,0.1087787,0.09355351,-0.2253933,356.7667,356.4766,354.8411,-0.8016493,2.996689,0.3748254,-3.559759,0.5414304,3.158448,-0.6223407,-0.2897131,-0.07477276,353.8857,279.7065,8.03683,0.9474641,3.004518,0.4551415,-3.666793,0.6216043,-3.013327,0.8184345,-0.3249803,-0.05637023,4.851891,85.74193,7.548049,
526.61,-0.01827932,-0.0001460916,-0.0451398,-0.01116591,0.01152721,-0.1395405,0.1085541,0.09365698,-0.2259102,356.7419,356.4261,354.9564,-0.6157761,3.054389,0.3105182,-3.612249,0.7801294,3.102194,-0.6268049,-0.2495187,-0.07202477,350.164,279.9026,9.214206,0.7721709,3.061738,0.383359,-3.711374,0.3423204,-2.978402,0.8249941,-0.2854714,-0.05288045,1.531921,85.61921,5.718003,
540.737,-0.01858732,0.003442521,-0.03974465,0.0309529,0.02724801,-0.1162128,0.1083074,0.0938094,-0.2263331,356.6651,356.372,354.9988,-0.4317168,3.08472,0.2465074,-3.638478,1.006256,2.954587,-0.6292117,-0.2096013,-0.07014559,346.4921,280.0834,10.1244,0.6173745,3.094827,0.3247046,-3.689617,0.1123755,-2.957506,0.8297293,-0.2456194,-0.04996756,358.2981,85.46794,3.89466,
554.686,-0.0182498,0.006827181,-0.03451123,0.05845394,0.03679381,-0.08437698,0.1080892,0.09401099,-0.2266831,356.5957,356.3225,355.0234,-0.2546048,3.091506,0.1798319,-3.65493,1.281072,2.726849,-0.6297081,-0.1699771,-0.06915918,342.8322,280.1513,10.76286,0.4366718,3.115882,0.2620211,-3.647072,-0.03709073,-2.946807,0.8315824,-0.2055571,-0.04820659,355.0996,85.17241,2.10302,
568.648,-0.01715979,0.009390594,-0.02913995,0.07656555,0.04264748,-0.05338087,0.1078794,0.0941567,-0.2269559,356.5178,356.278,355.0316,-0.1078064,3.082163,0.1171436,-3.618943,1.628237,2.487574,-0.6288619,-0.1310579,-0.06883807,339.1909,279.9891,11.30163,0.2584024,3.123309,0.1956439,-3.678418,-0.2650448,-2.892673,0.8313347,-0.1659185,-0.04728286,351.751,85.01208,0.4520578,
582.433,-0.01637396,0.01063996,-0.02359219,0.08668838,0.04501431,-0.01763498,0.107661,0.09432923,-0.2271557,356.444,356.2352,355.0005,0.0550307,3.060118,0.04112479,-3.518413,1.998818,2.264937,-0.6254799,-0.0926309,-0.06986762,335.5748,279.6135,11.82566,0.08202131,3.11692,0.1310263,-3.748228,-0.544827,-2.716297,0.8287672,-0.1266584,-0.04695287,348.2928,84.97959,359.1425,
596.714,-0.01569707,0.01134068,-0.01816152,0.09238036,0.05006552,0.01393395,0.1074224,0.09452629,-0.2272582,356.3609,356.1888,354.9543,0.2078714,3.021627,-0.03631684,-3.3026,2.234725,2.271637,-0.620598,-0.05509221,-0.07189363,332.1099,279.2379,12.86791,-0.1142549,3.090401,0.05939047,-3.802911,-0.8414157,-2.498379,0.8235953,-0.08810759,-0.04774678,344.7856,85.00813,358.0614,
610.405,-0.01523392,0.01160848,-0.01280788,0.09246517,0.05448086,0.03832304,0.1072071,0.09471925,-0.2273068,356.2879,356.1383,354.9031,0.3468865,2.966052,-0.1067077,-3.031023,2.35948,2.346027,-0.6140367,-0.01810011,-0.07449274,328.8536,278.8446,14.24758,-0.3026673,3.042246,-0.01393107,-3.778918,-1.148159,-2.376903,0.8165445,-0.05072389,-0.04929242,341.3265,85.17574,356.8429,
624.261,-0.01445501,0.01100076,-0.008036401,0.09005977,0.05581346,0.04756906,0.1069884,0.09488785,-0.2274632,356.2224,356.0943,354.8669,0.4702728,2.89705,-0.1650448,-2.74922,2.400201,2.279335,-0.606033,0.0180767,-0.07752835,325.9142,278.4484,15.48518,-0.4387465,2.989586,-0.06675331,-3.695424,-1.393001,-2.335982,0.8089582,-0.01412198,-0.05105623,337.941,85.35863,355.4713,
638.276,-0.01402179,0.0108398,-0.003602962,0.08662298,0.05299853,0.04527207,0.1068048,0.09503557,-0.2274041,356.1576,356.0535,354.8513,0.5882212,2.822245,-0.2167665,-2.534436,2.526782,2.052207,-0.5967122,0.05306011,-0.08114655,322.9904,277.9284,16.39295,-0.5821775,2.919609,-0.1210276,-3.589928,-1.582031,-2.324309,0.7993599,0.02156732,-0.05357749,334.6237,85.51676,354.0282,
652.293,-0.01365358,0.01126812,2.594071E-05,0.08621236,0.05192699,0.03343957,0.106621,0.09520616,-0.2273097,356.0921,356.0087,354.8533,0.7051258,2.742874,-0.2689839,-2.327722,2.797643,1.744676,-0.5858912,0.08692355,-0.08517076,319.9586,277.0496,17.14132,-0.7062169,2.837741,-0.1710348,-3.401012,-1.748392,-2.321042,0.7884526,0.05600581,-0.0565667,331.5094,85.81731,352.4437,
666.015,-0.01306003,0.01229774,0.003383867,0.09730845,0.05102698,0.01244392,0.1063831,0.09546013,-0.2271872,355.9989,355.9532,354.8907,0.8199341,2.659173,-0.3167958,-2.102795,3.104932,1.444889,-0.5737184,0.1195827,-0.08962031,316.8467,275.877,17.90272,-0.8192183,2.746089,-0.2142547,-3.182556,-1.921556,-2.201602,0.7760179,0.08923683,-0.05992537,328.5582,86.2579,351.005,
680.156,-0.0120136,0.01357542,0.006051252,0.11472,0.04994113,-0.01950116,0.1061797,0.09573158,-0.2270412,355.8942,355.8948,354.9721,0.9233487,2.565647,-0.3581644,-1.835432,3.233758,1.249582,-0.5604215,0.1510235,-0.09460236,313.9806,274.61,18.8742,-0.932772,2.648843,-0.2560939,-3.008894,-2.160934,-2.006685,0.7620023,0.1209935,-0.06388141,325.542,86.8618,349.7369,
694.179,-0.01137127,0.01512678,0.007925662,0.1306698,0.04473484,-0.04025369,0.1060526,0.09604114,-0.2268319,355.7792,355.8506,355.041,1.012541,2.460187,-0.3992519,-1.5647,3.15977,1.228667,-0.5460691,0.1810829,-0.1002783,311.4836,273.2525,20.33894,-1.041016,2.538501,-0.300496,-2.852384,-2.379807,-1.904819,0.7468616,0.1509392,-0.06838363,322.5018,87.61201,348.2593,
707.978,-0.01095063,0.01770621,0.009741678,0.1413986,0.0360974,-0.04064952,0.1059003,0.0963925,-0.2266517,355.6612,355.821,355.0747,1.100236,2.353454,-0.4437989,-1.378674,3.075416,1.417833,-0.5304273,0.2097902,-0.1063792,309.0454,271.593,22.63801,-1.135724,2.422828,-0.3351827,-2.744189,-2.470071,-1.926782,0.7310038,0.1795302,-0.07308128,319.5211,88.26063,346.4861,
721.654,-0.01063962,0.02132789,0.0111085,0.1606985,0.02452505,-0.02404998,0.1057544,0.09681761,-0.2265,355.4969,355.8061,355.0837,1.175521,2.260436,-0.4741539,-1.279029,3.036126,1.541327,-0.5142341,0.2373205,-0.112502,306.5901,269.8628,25.16444,-1.213525,2.307257,-0.3579404,-2.642956,-2.476304,-1.964404,0.7145131,0.2068304,-0.07786581,316.6922,88.81013,344.596,
