time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
457.787,-0.01466415,-0.02369029,0.01270364,-0.0849821,-0.007741441,-0.05438016,0.05435348,0.0702557,-0.2427855,5.615541,358.7195,351.6759,1.058883,-0.8113503,-0.1672112,1.04986,-1.10071,-1.787046,-0.06970627,-0.5270477,0.1596092,13.73729,345.4077,73.44631,-1.199002,-0.05666703,-0.238996,0.544529,-0.6467069,-2.463358,0.05026092,0.1800162,0.1322115,335.0713,328.6493,113.2899,
471.932,-0.008484303,-0.01823395,0.01036411,-0.05242845,-0.007379864,-0.05833384,0.05434728,0.07014886,-0.2427292,5.605467,358.7356,351.7133,1.072457,-0.7477489,-0.1711388,1.195155,-1.054498,-1.786316,-0.05592826,-0.5345388,0.1573363,14.98519,346.8402,74.5554,-1.15173,-0.1433939,-0.2385135,0.4068259,-0.7907541,-2.182746,0.03682604,0.1764848,0.129122,335.8438,327.3694,114.5762,
485.769,-0.002421567,-0.0115287,0.008680008,-0.01518456,-0.0133012,-0.05558897,0.05425453,0.06994469,-0.2425709,5.555369,358.7624,351.7504,1.081817,-0.6466516,-0.1690965,1.34959,-1.159851,-1.387087,-0.04228916,-0.5397431,0.1550893,15.92347,348.4761,74.7505,-1.09305,-0.2179145,-0.2425593,0.2712355,-0.9368827,-1.835486,0.02444822,0.172504,0.1257603,336.7253,326.2837,115.3602,
499.601,0.002947644,-0.005437653,0.008057215,0.03459086,-0.03299231,-0.04814864,0.05443025,0.07002029,-0.2424712,5.441845,358.8127,351.7727,1.066355,-0.5419354,-0.1692086,1.392105,-1.337343,-0.7137061,-0.0298226,-0.5437726,0.1526835,16.53686,349.8901,73.93704,-1.013866,-0.2842767,-0.254753,0.1205663,-1.100224,-1.472047,0.01356878,0.1681441,0.1219658,337.705,325.3046,115.7078,
513.681,0.008372831,0.001532044,0.007681843,0.07371986,-0.05418009,-0.02986587,0.05466795,0.07023213,-0.2423816,5.325548,358.8693,351.7605,1.027648,-0.4512424,-0.1708252,1.412679,-1.396641,-0.1899146,-0.01858173,-0.547275,0.1502603,16.90462,351.1777,72.95889,-0.9329343,-0.3225562,-0.2718257,0.01538393,-1.201418,-1.242411,0.003808366,0.1639212,0.1179179,338.6449,324.3145,116.0397,
527.724,0.0130815,0.007529457,0.008032867,0.1017858,-0.0756063,-0.02114028,0.05495167,0.0705008,-0.2422657,5.197754,358.9453,351.7672,0.9475725,-0.3562345,-0.1691885,1.397501,-1.316283,0.2223153,-0.009469071,-0.5499503,0.1480796,16.9486,352.2857,71.92574,-0.8451082,-0.3442301,-0.293319,-0.07697734,-1.29803,-1.11041,-0.004538646,0.1598875,0.1136474,339.6127,323.2391,116.3203,
541.438,0.01754663,0.01251722,0.008692848,0.1326729,-0.09926625,-0.02128838,0.05544424,0.07095728,-0.2421069,5.032574,359.0392,351.7874,0.8344993,-0.2856197,-0.1627029,1.286325,-1.145149,0.3136975,-0.002337535,-0.5523569,0.1461443,17.04796,353.1551,71.36745,-0.7471434,-0.34732,-0.3104299,-0.1571728,-1.366545,-0.9741062,-0.01141884,0.1562374,0.1094135,340.5661,322.228,116.4257,
555.628,0.02187492,0.01713901,0.009612731,0.1533717,-0.1201091,-0.03136424,0.05584335,0.07128836,-0.2419438,4.87211,359.1491,351.8268,0.7020276,-0.232967,-0.145824,1.166594,-0.8906674,0.1732389,0.002788582,-0.5544608,0.1448272,17.13957,353.9562,71.38553,-0.6580488,-0.3360862,-0.3186741,-0.2772595,-1.443366,-0.8054932,-0.01719204,0.1530878,0.1053719,341.4932,321.2583,116.2073,
569.611,0.02642422,0.02019156,0.01014963,0.1652296,-0.1336284,-0.05361184,0.05632734,0.07155984,-0.2417989,4.712794,359.2628,351.9028,0.5557434,-0.1890683,-0.1165342,1.026224,-0.6918436,0.05238637,0.005848587,-0.5559477,0.1442741,17.24102,354.6288,71.495,-0.5459226,-0.3063257,-0.3150573,-0.4512263,-1.517634,-0.5112799,-0.02078911,0.1508763,0.1017054,342.3322,320.5009,115.4133,
583.454,0.03055007,0.02071266,0.01035701,0.1619114,-0.1452586,-0.06996693,0.05686474,0.07176925,-0.2416282,4.585931,359.3897,351.9694,0.4192184,-0.1490686,-0.08364894,0.8566126,-0.6054672,0.164832,0.007345978,-0.5567864,0.1442049,17.28031,355.0141,71.10979,-0.4239122,-0.2607329,-0.2941609,-0.6045036,-1.54558,-0.1333297,-0.02277981,0.1495939,0.09874655,343.0501,320.0971,114.161,
597.169,0.03405578,0.01956536,0.01015932,0.1383597,-0.1530936,-0.06506231,0.05743694,0.07196677,-0.241477,4.505136,359.5115,351.9883,0.2503445,-0.1020936,-0.04068433,0.5934494,-0.5667924,0.4433514,0.00605032,-0.5568217,0.1449338,17.25331,354.9034,70.19077,-0.2774002,-0.1912988,-0.2515151,-0.7269521,-1.448776,0.229936,-0.02246808,0.1495364,0.09686068,343.4888,319.9628,112.7579,
611.362,0.03718064,0.01638776,0.009338282,0.1124158,-0.150251,-0.05289572,0.05801296,0.07207753,-0.241365,4.440895,359.6151,351.9998,0.07793241,-0.05723485,0.005519567,0.3066587,-0.4899577,0.6882315,0.002640069,-0.5564669,0.1463554,17.14546,354.4782,69.1497,-0.1434699,-0.1172908,-0.2022481,-0.7666512,-1.22071,0.4459553,-0.02082665,0.1502162,0.09557666,343.6514,319.943,111.6101,
625.267,0.03944977,0.0126312,0.007857062,0.07364419,-0.1382271,-0.05167704,0.0585866,0.07214157,-0.2413049,4.434467,359.709,352.0415,-0.09251184,-0.01423893,0.05026035,0.01679264,-0.3517499,0.8137289,-0.002623048,-0.5556898,0.1482107,16.97836,353.8204,68.24923,-0.007243281,-0.03678375,-0.1487195,-0.7625766,-0.9017562,0.5700446,-0.01748289,0.1517141,0.09506464,343.514,320.024,110.6878,
639.098,0.0408365,0.008748056,0.005810085,0.02641891,-0.1168336,-0.04590723,0.05916786,0.0721815,-0.241312,4.480368,359.7711,352.0594,-0.2527707,0.02625551,0.09009212,-0.2535313,-0.1874104,0.8375167,-0.009502971,-0.5544522,0.1504971,16.78087,352.9992,67.51947,0.1310192,0.03708675,-0.08534233,-0.6976923,-0.63682,0.7325736,-0.01226042,0.1534681,0.09553357,343.2859,320.3457,109.7375,
653.143,0.04202078,0.004782777,0.00259078,-0.02662075,-0.07704129,-0.04581423,0.05968213,0.07221784,-0.2414155,4.575443,359.7867,352.1018,-0.3984245,0.06557152,0.1241133,-0.5155572,-0.05607064,0.8264977,-0.01771004,-0.5525704,0.1531259,16.6251,352.0059,66.83057,0.2478828,0.09485409,-0.02864913,-0.5840957,-0.4549184,0.8802223,-0.006258924,0.1568778,0.09648601,343.1211,320.8782,108.7583,
666.992,0.04223718,0.002479281,-0.0006079557,-0.07478844,-0.03139308,-0.05518365,0.06020594,0.07229804,-0.2415257,4.708787,359.7704,352.1691,-0.5308463,0.1122488,0.1526329,-0.7612954,0.04580091,0.8553491,-0.02729508,-0.5497146,0.1560252,16.4529,350.8312,66.01814,0.3834988,0.1813018,0.02330633,-0.6832117,0.01539174,1.026943,0.002176311,0.160773,0.0980662,342.0429,321.4043,107.7793,
680.735,0.04251068,0.002061321,-0.003749152,-0.1055589,0.02090254,-0.06045064,0.06081223,0.07237676,-0.2416649,4.831959,359.7015,352.2264,-0.6455062,0.1711283,0.1774943,-0.9281469,0.1593461,0.91145,-0.03787355,-0.5458223,0.1591941,16.15134,349.615,65.14482,0.5374233,0.2685645,0.07998518,-0.7556189,0.5688652,1.236472,0.0128086,0.1650641,0.10055,340.4267,322.1887,106.669,
694.97,0.04326449,0.002960952,-0.006680853,-0.1108223,0.06948581,-0.06633332,0.06146216,0.07248883,-0.2418327,4.931637,359.6016,352.2986,-0.7439596,0.2471346,0.1983469,-1.046776,0.2624347,1.070747,-0.04927997,-0.5404801,0.1625608,15.66464,348.3329,64.01389,0.6686224,0.3183835,0.1265,-0.7246587,0.8510812,1.45685,0.02418884,0.1694606,0.1032865,339.0783,323.1926,105.3348,
708.918,0.04502023,0.005526255,-0.0094178,-0.1054404,0.113207,-0.08006686,0.0621469,0.07264596,-0.2420382,5.016027,359.4788,352.3976,-0.8200439,0.345379,0.2175736,-1.044081,0.4147677,1.337679,-0.06115277,-0.5336051,0.1660031,14.7862,347.1444,62.65744,0.7935604,0.3516908,0.16206,-0.724126,1.056336,1.672959,0.03713062,0.1738809,0.1062505,337.6855,324.3011,103.751,
722.578,0.04823764,0.008212082,-0.01243575,-0.08670369,0.1538371,-0.1023037,0.06288934,0.07276368,-0.242353,5.074409,359.3303,352.5318,-0.8733822,0.4601037,0.233579,-0.8990058,0.6231346,1.682939,-0.07349818,-0.5254502,0.1695241,13.42521,346.1938,61.14375,0.9109775,0.3681182,0.1879615,-0.7280979,1.246523,1.86109,0.05127294,0.1778771,0.1093603,336.1996,325.5132,101.9901,
736.723,0.051986,0.0104963,-0.01570578,-0.06678613,0.1868005,-0.1202711,0.0636766,0.07289305,-0.2427006,5.12464,359.1651,352.667,-0.9089661,0.5598212,0.2418458,-0.7953553,0.8008308,1.990906,-0.08605537,-0.5165759,0.1730372,11.87911,345.2673,59.48647,1.019604,0.3637894,0.206386,-0.7395116,1.375934,2.033456,0.06664151,0.1813032,0.112517,334.7384,326.8135,100.0167,
750.703,0.05569511,0.01282082,-0.01865987,-0.056763,0.2118729,-0.1237104,0.06454158,0.07312972,-0.2430205,5.18889,358.9922,352.7744,-0.944578,0.6639196,0.2498572,-0.7580658,0.9247666,2.240761,-0.09921019,-0.5061384,0.1768126,10.28997,344.3193,57.689,1.119653,0.339832,0.2177344,-0.7949911,1.405918,2.220703,0.08316667,0.1841345,0.1155969,333.4295,328.1917,97.71339,
764.583,0.05954632,0.01379628,-0.02163647,-0.04427183,0.230076,-0.113077,0.06546974,0.07328127,-0.2434011,5.231067,358.8066,352.8574,-0.970098,0.7611004,0.2614665,-0.7126784,0.9345261,2.417886,-0.112538,-0.4942974,0.1807775,8.826243,343.541,55.82,1.212323,0.3000815,0.2220112,-0.9025213,1.380841,2.400844,0.1009233,0.1861647,0.1185453,332.276,329.5954,95.10358,
778.265,0.06329191,0.01367052,-0.02479842,-0.04317004,0.2352794,-0.09019883,0.06639791,0.073435,-0.2438674,5.294397,358.6335,352.9024,-0.9860815,0.8659731,0.2703039,-0.6637635,0.9598711,2.66597,-0.1259821,-0.4809267,0.1846868,7.188065,342.8723,53.71621,1.302431,0.2485828,0.2255765,-0.9979595,1.350924,2.639595,0.119685,0.1873483,0.1215438,331.2441,331.2306,92.1034,
